"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 29 22:11:09 GMT 2025","Wed Jan 29 22:11:13 GMT 2025","3529","","Checkout Page tests suite","","","","Test Case #8 | Valid checkout",""
"passed","Wed Jan 29 22:11:16 GMT 2025","Wed Jan 29 22:11:18 GMT 2025","1496","","Inventory Page tests suite","","","","Test Case #7 | Checking footer Facebook icon & link",""
"passed","Wed Jan 29 22:11:12 GMT 2025","Wed Jan 29 22:11:13 GMT 2025","801","","Inventory Page tests suite","","","","Test Case #6 | Sorting products due to chosen filter: ""Price (high to low)""",""
"passed","Wed Jan 29 22:11:13 GMT 2025","Wed Jan 29 22:11:13 GMT 2025","713","","Inventory Page tests suite","","","","Test Case #6 | Sorting products due to chosen filter: ""Name (A to Z)""",""
"failed","Wed Jan 29 22:11:13 GMT 2025","Wed Jan 29 22:11:24 GMT 2025","10850","","Checkout Page tests suite","","","","Test Case #9 | Checkout without products",""
"passed","Wed Jan 29 22:11:18 GMT 2025","Wed Jan 29 22:11:20 GMT 2025","2245","","Inventory Page tests suite","","","","Test Case #7 | Checking footer LinkedIn icon & link",""
"passed","Wed Jan 29 22:11:10 GMT 2025","Wed Jan 29 22:11:12 GMT 2025","1522","","Login Page tests suite","","","","Test Case #1 | Login with the user valid login and the valid password",""
"passed","Wed Jan 29 22:11:09 GMT 2025","Wed Jan 29 22:11:12 GMT 2025","2928","","Cart Page tests suite","","","","Test Case #5 | Saving cart contents after logout/login",""
"passed","Wed Jan 29 22:11:14 GMT 2025","Wed Jan 29 22:11:16 GMT 2025","2242","","Inventory Page tests suite","","","","Test Case #7 | Checking footer Twitter icon & link",""
"passed","Wed Jan 29 22:11:13 GMT 2025","Wed Jan 29 22:11:14 GMT 2025","474","","Inventory Page tests suite","","","","Test Case #6 | Sorting products due to chosen filter: ""Name (Z to A)""",""
"passed","Wed Jan 29 22:11:12 GMT 2025","Wed Jan 29 22:11:13 GMT 2025","516","","Login Page tests suite","","","","Test Case #3 | Login with the user invalid login and the valid password",""
"passed","Wed Jan 29 22:11:12 GMT 2025","Wed Jan 29 22:11:12 GMT 2025","716","","Login Page tests suite","","","","Test Case #2 | Login with the user valid login and the invalid password",""
"passed","Wed Jan 29 22:11:13 GMT 2025","Wed Jan 29 22:11:14 GMT 2025","663","","Login Page tests suite","","","","Test Case #4 | Check that user can logout",""
"passed","Wed Jan 29 22:11:10 GMT 2025","Wed Jan 29 22:11:12 GMT 2025","1800","","Inventory Page tests suite","","","","Test Case #6 | Sorting products due to chosen filter: ""Price (low to high)""",""
