"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 29 22:00:43 GMT 2025","Wed Jan 29 22:00:47 GMT 2025","3668","","Checkout Page tests suite","","","","Test Case #8 | Valid checkout",""
"failed","Wed Jan 29 22:00:47 GMT 2025","Wed Jan 29 22:00:58 GMT 2025","10768","","Checkout Page tests suite","","","","Test Case #9 | Checkout without products",""
"passed","Wed Jan 29 22:00:43 GMT 2025","Wed Jan 29 22:00:46 GMT 2025","2679","","Inventory Page tests suite","","","","Test Case #6 | Sorting products due to chosen filter: ""Price (low to high)""",""
"passed","Wed Jan 29 22:00:47 GMT 2025","Wed Jan 29 22:00:48 GMT 2025","480","","Inventory Page tests suite","","","","Test Case #6 | Sorting products due to chosen filter: ""Name (Z to A)""",""
"passed","Wed Jan 29 22:00:47 GMT 2025","Wed Jan 29 22:00:47 GMT 2025","699","","Inventory Page tests suite","","","","Test Case #6 | Sorting products due to chosen filter: ""Name (A to Z)""",""
"passed","Wed Jan 29 22:00:52 GMT 2025","Wed Jan 29 22:00:54 GMT 2025","2176","","Inventory Page tests suite","","","","Test Case #7 | Checking footer LinkedIn icon & link",""
"passed","Wed Jan 29 22:00:43 GMT 2025","Wed Jan 29 22:00:46 GMT 2025","2322","","Login Page tests suite","","","","Test Case #1 | Login with the user valid login and the valid password",""
"passed","Wed Jan 29 22:00:48 GMT 2025","Wed Jan 29 22:00:51 GMT 2025","2800","","Inventory Page tests suite","","","","Test Case #7 | Checking footer Twitter icon & link",""
"passed","Wed Jan 29 22:00:51 GMT 2025","Wed Jan 29 22:00:52 GMT 2025","1461","","Inventory Page tests suite","","","","Test Case #7 | Checking footer Facebook icon & link",""
"passed","Wed Jan 29 22:00:47 GMT 2025","Wed Jan 29 22:00:48 GMT 2025","1155","","Login Page tests suite","","","","Test Case #4 | Check that user can logout",""
"passed","Wed Jan 29 22:00:46 GMT 2025","Wed Jan 29 22:00:46 GMT 2025","712","","Login Page tests suite","","","","Test Case #2 | Login with the user valid login and the invalid password",""
"passed","Wed Jan 29 22:00:46 GMT 2025","Wed Jan 29 22:00:47 GMT 2025","541","","Login Page tests suite","","","","Test Case #3 | Login with the user invalid login and the valid password",""
"passed","Wed Jan 29 22:00:44 GMT 2025","Wed Jan 29 22:00:47 GMT 2025","2980","","Cart Page tests suite","","","","Test Case #5 | Saving cart contents after logout/login",""
"passed","Wed Jan 29 22:00:46 GMT 2025","Wed Jan 29 22:00:47 GMT 2025","811","","Inventory Page tests suite","","","","Test Case #6 | Sorting products due to chosen filter: ""Price (high to low)""",""
