"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2395","Test Case #1 | Login with the user valid login and the valid password","","Wed Jan 29 20:59:59 GMT 2025","passed","Wed Jan 29 21:00:01 GMT 2025","","Login Page tests suite","",""
"","2678","Test Case #6 | Sorting products due to chosen filter: ""Price (low to high)""","","Wed Jan 29 20:59:59 GMT 2025","passed","Wed Jan 29 21:00:02 GMT 2025","","Inventory Page tests suite","",""
"","967","Test Case #6 | Sorting products due to chosen filter: ""Price (high to low)""","","Wed Jan 29 21:00:02 GMT 2025","passed","Wed Jan 29 21:00:03 GMT 2025","","Inventory Page tests suite","",""
"","847","Test Case #2 | Login with the user valid login and the invalid password","","Wed Jan 29 21:00:01 GMT 2025","passed","Wed Jan 29 21:00:02 GMT 2025","","Login Page tests suite","",""
"","1883","Test Case #7 | Checking footer LinkedIn icon & link","","Wed Jan 29 21:00:07 GMT 2025","passed","Wed Jan 29 21:00:09 GMT 2025","","Inventory Page tests suite","",""
"","450","Test Case #6 | Sorting products due to chosen filter: ""Name (Z to A)""","","Wed Jan 29 21:00:03 GMT 2025","passed","Wed Jan 29 21:00:04 GMT 2025","","Inventory Page tests suite","",""
"","1563","Test Case #7 | Checking footer Facebook icon & link","","Wed Jan 29 21:00:06 GMT 2025","passed","Wed Jan 29 21:00:07 GMT 2025","","Inventory Page tests suite","",""
"","1176","Test Case #4 | Check that user can logout","","Wed Jan 29 21:00:03 GMT 2025","passed","Wed Jan 29 21:00:04 GMT 2025","","Login Page tests suite","",""
"","608","Test Case #3 | Login with the user invalid login and the valid password","","Wed Jan 29 21:00:02 GMT 2025","passed","Wed Jan 29 21:00:03 GMT 2025","","Login Page tests suite","",""
"","3273","Test Case #5 | Saving cart contents after logout/login","","Wed Jan 29 20:59:59 GMT 2025","passed","Wed Jan 29 21:00:02 GMT 2025","","Cart Page tests suite","",""
"","748","Test Case #6 | Sorting products due to chosen filter: ""Name (A to Z)""","","Wed Jan 29 21:00:03 GMT 2025","passed","Wed Jan 29 21:00:03 GMT 2025","","Inventory Page tests suite","",""
"","2050","Test Case #7 | Checking footer Twitter icon & link","","Wed Jan 29 21:00:04 GMT 2025","passed","Wed Jan 29 21:00:06 GMT 2025","","Inventory Page tests suite","",""
"","3772","Test Case #8 | Valid checkout","","Wed Jan 29 20:59:59 GMT 2025","passed","Wed Jan 29 21:00:03 GMT 2025","","Checkout Page tests suite","",""
"","10921","Test Case #9 | Checkout without products","","Wed Jan 29 21:00:03 GMT 2025","failed","Wed Jan 29 21:00:14 GMT 2025","","Checkout Page tests suite","",""
